n1,n2
INFO_5100,CSYE_6225
INFO_5100,CSYE_7280
INFO_5100,INFO_6150
INFO_5100,INFO_7500
INFO_6105,DAMG_7245
INFO_6105,INFO_7390
INFO_7390,INFO_7250
INFO_6205,INFO_7250
INFO_6205,INFO_7375
INFO_6105,INFO_7390
INFO_6205,INFO_7610
INFO_7500,INFO_7510
INFO_7500,INFO_7520
INFO_7510,INFO_7525
INFO_7520,INFO_7535
INFO_7510,INFO_7535
INFO_7520,INFO_7525
INFO_5100,INFO_6205
INFO_5100,INFO_6105
